Country,birth,ages_0_14,ages_15_24,ages_25_54,ages_55_64,ages_over_65,Total,Population
Singapore,1.07,1.05,0.96,0.95,1,0.85,0.96,5804337
Sint Maarten,1.05,1.08,1.04,0.97,0.9,0.89,0.98,42388
Slovakia,1.07,1.06,1.05,1.02,0.92,0.65,0.94,5457013
Slovenia,1.04,1.05,1.08,1.11,0.99,0.76,1,2078654
Solomon Islands,1.05,1.06,1.06,1.04,1.07,0.88,1.04,669823
Somalia,1.03,1,1.01,1.07,1.05,0.66,1.02,15442905
South Africa,1.02,1,0.97,1.02,0.87,0.72,0.98,58558270
South Sudan,1.05,1.04,1.05,1.05,1.23,1.35,1.06,11062113
Spain,1.07,1.06,1.07,1.04,0.96,0.75,0.98,46736776
Sri Lanka,1.04,1.04,1.04,0.97,0.86,0.73,0.95,21323733
Sudan,1.05,1.03,1.04,0.95,1.04,1.12,1.01,42813238
Suriname,1.05,1.04,1.04,1.04,0.98,0.78,1.01,581372
Sweden,1.06,1.06,1.07,1.03,1.01,0.87,1,10036379
Switzerland,1.06,1.06,1.05,1,1.01,0.8,0.98,8591365
Syria,1.06,1.05,1,0.97,0.97,0.88,1,17070135
Taiwan,1.06,1.05,1.05,0.99,0.96,0.83,0.97,23773876
Tajikistan,1.05,1.04,1.03,0.99,0.85,0.7,0.99,9321018
Tanzania,1.03,1.02,1.01,1.01,0.86,0.71,1,58005463
Thailand,1.05,1.05,1.04,0.99,0.88,0.77,0.96,69037513
Timor-Leste,1.07,1.06,1.03,0.92,0.94,0.94,1,1293119
Togo,1.03,1.01,1,0.99,0.9,0.76,0.98,8082366
Tonga,1.03,1.03,1.05,0.99,1.04,0.81,1.01,110940
Trinidad and Tobago,1.03,1.04,1.09,1.1,1,0.78,1.03,1394973
Tunisia,1.06,1.07,1.03,0.95,0.98,0.9,0.99,11694719
Turkey,1.05,1.05,1.04,1.03,0.98,0.81,1.01,83429615
Turkmenistan,1.05,1.03,1.01,0.99,0.88,0.77,0.98,5942089
Turks and Caicos Islands,1.05,1.04,1,1.01,1.11,0.89,1.01,38191
Tuvalu,1.05,1.05,1.07,1.05,0.7,0.62,0.98,11646
Uganda,1.03,1.02,0.94,0.85,0.85,0.75,0.94,44269594
Ukraine,1.06,1.06,1.05,0.97,0.76,0.51,0.86,43993638
United Arab Emirates,1.06,1.07,1.19,3.27,6.05,3.39,2.56,9770529
United Kingdom,1.05,1.05,1.05,1.05,0.98,0.82,0.99,67530172
United States,1.05,1.04,1.04,1.01,0.94,0.81,0.97,329064917
Uruguay,1.04,1.04,1.03,0.99,0.89,0.67,0.94,3461734
Uzbekistan,1.06,1.05,1.05,0.99,0.89,0.75,0.99,32981716
Vanuatu,1.05,1.04,0.98,0.95,0.97,0.99,0.99,299882
Venezuela,1.05,1.05,1.03,0.99,0.92,0.84,0.99,28515829
Vietnam,1.09,1.11,1.09,1.03,0.88,0.66,1.01,96462106
UK Virgin Islands,1.05,0.97,0.92,0.88,0.94,0.92,0.91,30030
US Virgin Islands,1.06,1.05,0.95,0.88,0.91,0.81,0.91,104578
Wallis and Futuna,1.05,1.09,1.13,1.05,0.89,0.93,1.04,11432
Western Sahara,1.04,1.02,1.01,0.97,0.88,0.79,0.99,582463
Yemen,1.05,1.04,1.03,1.05,0.84,0.84,1.02,29161922
Zambia,1.03,1.01,1,1.01,0.87,0.78,1,17861030
Zimbabwe,1.03,0.98,0.96,1.05,0.63,0.66,0.96,14645468
